人口総数,"15歳未満人口","15〜64歳人口","65歳以上人口",出生数,死亡数,転入者数,転出者数,昼間人口,"高齢単身世帯数",婚姻件数,離婚件数,政府統計の総合窓口より2012年の人口状況
25527,3054,14669,7520,177,322,530,704,25957,568,91,47,加美町　　　　
17494,2010,10590,4894,99,255,447,452,17159,508,69,38,涌谷町　　　　
25190,2922,14968,7228,161,308,705,804,23140,682,106,46,美里町　　　　
10051,1057,5616,3362,58,124,235,393,11085,472,39,15,女川町　　　　
17429,2158,10031,5238,105,248,326,392,17429,428,49,28,南三陸町　　　
323600,39574,205301,77625,2429,3102,9072,9834,349635,12030,1536,558,秋田市　　　　
59084,6530,33180,19269,350,847,1246,1492,66037,2968,218,101,能代市　　　　
98367,11371,56114,30879,627,1296,1961,2187,104970,2768,396,144,横手市　　　　
78946,9026,44842,25017,526,1019,1602,1968,83185,3332,297,124,大館市　　　　
32294,2773,18512,10995,144,489,597,881,33245,1425,112,54,男鹿市　　　　
50849,5691,28606,16552,279,780,887,1230,56618,1679,204,88,湯沢市　　　　
34473,3996,19123,11350,238,507,652,791,35979,1476,122,44,鹿角市　　　　
85229,9958,50059,24700,616,1132,1428,1729,87347,2559,332,130,由利本荘市　　
34442,4247,21285,8909,187,366,1043,930,29214,997,120,61,潟上市　　　　
88301,9743,50632,27919,552,1249,1736,1891,92780,2762,349,137,大仙市　　　　
36387,3581,19530,13248,181,638,731,847,39866,1751,101,45,北秋田市　　　
27544,3347,16208,7973,157,365,457,658,29093,813,130,34,にかほ市　　　
29568,3179,16462,9927,185,475,535,679,31361,1085,111,48,仙北市　　　　
6054,610,3235,2209,32,91,150,165,7332,370,19,5,小坂町　　　　
2727,213,1299,1215,5,63,52,56,2901,176,6,2,上小阿仁村　　
3848,344,1997,1507,19,69,56,85,3714,189,7,2,藤里町　　　　
18876,1811,10529,6536,68,286,322,435,17695,769,60,32,三種町　　　　
8220,812,4469,2939,32,116,166,170,7882,383,21,12,八峰町　　　　
10516,912,5723,3881,44,184,220,297,10727,486,40,11,五城目町　　　
6623,682,3879,2062,32,80,153,188,5979,260,17,9,八郎潟町　　　
5493,610,3127,1755,30,83,89,165,5470,139,10,2,井川町　　　　
3218,506,1884,828,24,30,144,136,3970,27,12,6,大潟村　　　　
21674,2369,12453,6851,123,303,392,495,20220,504,73,32,美郷町　　　　
16792,1846,9602,5344,119,244,265,374,16357,427,63,26,羽後町　　　　
2872,330,1582,960,14,52,57,58,2476,88,8,1,東成瀬村　　　
254244,33346,157947,60882,2113,2321,7957,8147,276846,6777,1251,410,山形市　　　　
89401,11577,54346,22898,661,987,2291,2595,100777,2462,441,208,米沢市　　　　
136623,17527,79640,39222,1013,1762,2557,2980,143363,4171,602,224,鶴岡市　　　　
111151,14123,65190,31835,776,1381,2369,2745,122485,3745,463,181,酒田市　　　　
38850,5404,23020,10332,298,473,1083,1293,45601,1091,164,72,新庄市　　　　
42373,5798,25275,11244,309,454,1176,1148,43348,677,202,74,寒河江市　　　
33836,3776,19455,10600,182,463,684,856,32705,1038,137,54,上山市　　　　
26811,3232,15106,8472,167,354,540,641,26625,559,116,36,村山市　　　　
29473,3788,16900,8765,199,384,625,722,31707,779,132,51,長井市　　　　
62214,8615,38297,15070,525,607,1710,1963,61565,1162,297,101,天童市　　　　
46414,6684,28387,11324,432,455,1834,1670,47855,771,292,71,東根市　　　　
18955,2176,10616,6163,107,277,287,497,19744,372,83,24,尾花沢市　　　
33658,4296,19817,9545,274,382,760,883,33010,865,144,55,南陽市　　　　
15139,1913,9060,4166,98,179,347,377,11509,281,56,12,山辺町　　　　
12015,1495,7196,3324,85,135,258,307,9053,184,27,11,中山町　　　　
19959,2441,11559,5949,158,243,393,510,19139,358,88,26,河北町　　　　
6270,679,3317,2274,31,97,65,136,5967,182,16,3,西川町　　　　
7856,822,4236,2798,43,118,136,216,7284,239,33,16,朝日町　　　　
9227,1059,5185,2983,58,165,183,198,8649,226,42,11,大江町　　　　
8160,956,4691,2513,44,119,130,188,7452,159,24,16,大石田町　　　
6365,823,3645,1897,43,78,99,138,5958,125,26,12,金山町　　　　
9847,1160,5598,3089,76,122,128,211,9813,232,48,16,最上町　　　　
6164,659,3445,2060,43,99,111,143,5506,126,23,7,舟形町　　　　
9165,944,5245,2976,56,134,182,271,8905,190,33,14,真室川町　　　
3762,439,2112,1211,38,58,63,123,3523,71,15,2,大蔵村　　　　
